"","logFC","AveExpr","t","P.Value","adj.P.Val","B","X","UNIPROT"
"P01903;P01906",5.24610264778171,23.5674698383143,11.0807052445864,4.50174468092179e-05,0.000360973230896136,2.80509290606731,"P01903;P01906","P01903"
"P62854;Q5JNZ5",3.28941547895579,22.1553275098064,11.0366156143896,4.6012608372443e-05,0.000362962488891334,2.78162382332492,"P62854;Q5JNZ5","P62854"
"Q08431",2.35691253763335,26.9812787279547,11.0326321252305,4.61037803441648e-05,0.000362962488891334,2.77949847681395,"Q08431","Q08431"
"P27824",1.86129324042897,22.4026723961777,10.9614813767389,4.77683364654636e-05,0.000372679093505329,2.74139863460039,"P27824","P27824"
"O60437",-3.76299516122051,23.032795867599,-10.9144829290404,4.89063805354015e-05,0.000375105790828387,2.71608751037458,"O60437","O60437"
"Q5ZPR3",3.26155920128057,22.9420041746095,10.9019716630784,4.92146521582755e-05,0.000375105790828387,2.70933005519533,"Q5ZPR3","Q5ZPR3"
"P20020",4.04778693477014,22.9442991660502,10.8953460800697,4.93788223492334e-05,0.000375105790828387,2.70574818511339,"P20020","P20020"
"P09496",2.34917355531482,22.5316748378928,10.7378164551581,5.3477188154205e-05,0.000402706477752535,2.61990080526292,"P09496","P09496"
"O95861",-2.9422321763212,22.871578144817,-10.6918549312108,5.47469205390184e-05,0.000408714079196465,2.59460323909375,"O95861","O95861"
"P31949",-1.62694157834119,28.359351717905,-10.6564562802609,5.57488794666219e-05,0.00041263700528286,2.57504152969485,"P31949","P31949"
"P23229",1.56154925940134,25.4602644428324,10.5937428262466,5.75770501081372e-05,0.000422556994861413,2.5402174211385,"P23229","P23229"
"P15311",-1.95355058500422,26.6516106223376,-10.5240883766466,5.96901945651255e-05,0.000434384104986543,2.50128527684621,"P15311","P15311"
"P00533",2.75619991019926,22.9570432995945,10.4427059959295,6.2274859264908e-05,0.00044851427784145,2.45545597833892,"P00533","P00533"
"Q13557;Q9UQM7;Q13555;Q13554",-1.7007404535443,21.5703226318108,-10.4306824486651,6.26676993288862e-05,0.00044851427784145,2.44865358107895,"Q13557;Q9UQM7;Q13555;Q13554","Q13557"
"O43653",-4.45260029435372,23.1463396815744,-10.3220045738274,6.63528849515108e-05,0.000470996707934494,2.38679648098568,"O43653","O43653"
"Q86X29",-3.30838069354091,23.1156535669649,-10.2557358298139,6.87241180486201e-05,0.000479900046942111,2.34874585279696,"Q86X29","Q86X29"
"Q8NI35",-2.46484670422013,22.2867704402638,-10.2552506919997,6.87418384460352e-05,0.000479900046942111,2.34846635760501,"Q8NI35","Q8NI35"
"Q9NR45",-2.27021960537571,22.5659323618367,-10.2408675000416,6.92696372606973e-05,0.000479900046942111,2.34017378047723,"Q9NR45","Q9NR45"
"P09211",-3.85653829755884,27.1183464001454,-10.2253644170883,6.98438355563559e-05,0.000480037790411144,2.33122207184352,"P09211","P09211"
"Q8IWA5",-3.45661635083282,25.2551714072213,-10.205921119199,7.05718405966796e-05,0.000481222157139563,2.31997543161868,"Q8IWA5","Q8IWA5"
