"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"R-HSA-1266738","Developmental Biology",211,0.403721477064044,1.45762347425291,0.000973201101365059,0.00417858568125791,0.00293505094062478,127,"tags=23%, list=14%, signal=26%","2335/3673/3014/7431/3688/3690/3678/375790/3915/94239/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/5054/3911/3685/3691/1213/8338/6231/4240/1211/3655/1956/10085/960/1969/1808/7837/6237/3326/10376/389/1072/7094/5705/4478/5361"
"R-HSA-6805567","Keratinization",13,-0.803618467790065,-1.77695718032665,0.00120782551290687,0.00510495001939546,0.00358573199144228,141,"tags=77%, list=16%, signal=66%","6707/6700/5652/823/11187/3728/5493/23581/7051/6698"
"R-HSA-6809371","Formation of the cornified envelope",13,-0.803618467790065,-1.77695718032665,0.00120782551290687,0.00510495001939546,0.00358573199144228,141,"tags=77%, list=16%, signal=66%","6707/6700/5652/823/11187/3728/5493/23581/7051/6698"
"R-HSA-73857","RNA Polymerase II Transcription",98,0.48327756208865,1.60049908741967,0.00123113726945953,0.00516314157191944,0.00362660591003584,74,"tags=20%, list=8%, signal=21%","3014/3678/94239/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/5054/8338/1956"
"R-HSA-212436","Generic Transcription Pathway",96,0.48445534369202,1.59761134335144,0.00124537007026254,0.0051826554462464,0.0036403125130751,74,"tags=21%, list=8%, signal=21%","3014/3678/94239/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/5054/8338/1956"
"R-HSA-9839923","Dengue Virus Infection",86,0.496607468994939,1.61330778854241,0.00131845055403506,0.00544489885292341,0.00382451305750628,231,"tags=50%, list=26%, signal=41%","7431/440689/375790/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/3339/8338/821/3326/3309/4904/6385/7415/9789/3181/3838/3837/126961/333932/653604/3187/8350/8351/8352/8353/8354/8355/8356/8357/8358/8968"
"R-HSA-194315","Signaling by Rho GTPases",139,0.447311390755608,1.54668667394936,0.001398356648219,0.00573114353550363,0.00402557216911531,237,"tags=47%, list=27%, signal=41%","3014/7431/3688/94239/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/10409/2316/1213/8338/1969/752/4162/9341/87/6510/3326/10376/389/1072/5361/5528/11140/7846/7415/84790/10383/391/396/10979/387/5216/7531/5518/5880/126961/333932/653604/60/7529/8350/8351/8352/8353/8354/8355/8356/8357/8358/8968/7170/4627/857"
"R-HSA-3000178","ECM proteoglycans",16,0.764551151016236,1.7784429337554,0.00177711341035475,0.00718822493868873,0.00504903045601057,62,"tags=69%, list=7%, signal=65%","2335/3673/3688/3690/375790/3915/5054/3371/3911/3685/3339"
"R-HSA-8875878","MET promotes cell motility",14,0.782447046196647,1.77529037778725,0.00178044758185636,0.00718822493868873,0.00504903045601057,52,"tags=43%, list=6%, signal=41%","2335/3673/3675/3688/3915/3911"
"R-HSA-1474228","Degradation of the extracellular matrix",19,0.718971163680514,1.7282648253858,0.0018209178821692,0.00729715980928545,0.00512554663129107,79,"tags=42%, list=9%, signal=39%","2335/7076/80781/4312/3915/3911/3339/960"
"R-HSA-74160","Gene expression (Transcription)",105,0.47441509863854,1.5912064800945,0.00200599159077231,0.00797971654858692,0.00560497650362852,74,"tags=19%, list=8%, signal=20%","3014/3678/94239/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/5054/8338/1956"
"R-HSA-9006931","Signaling by Nuclear Receptors",58,0.534874731864548,1.63502626827015,0.00231680269027348,0.00914883398129894,0.00642616804601405,74,"tags=31%, list=8%, signal=30%","3014/94239/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/8338/1956"
