"UNIPROT","Symbol","degree","betweenness","X.1","logFC","AveExpr","t","P.Value","adj.P.Val","B","X"
"P68431","H3C3",58,2.95943100803577,"P68431",3.43232626918039,22.5817056234858,2.81359614723513,0.0323225675885332,0.0715891138917385,-4.46570046213211,"P68431"
"P68431","H3C4",58,2.95943100803577,"P68431",3.43232626918039,22.5817056234858,2.81359614723513,0.0323225675885332,0.0715891138917385,-4.46570046213211,"P68431"
"P68431","H3C6",58,2.95943100803577,"P68431",3.43232626918039,22.5817056234858,2.81359614723513,0.0323225675885332,0.0715891138917385,-4.46570046213211,"P68431"
"P68431","H3C7",58,2.95943100803577,"P68431",3.43232626918039,22.5817056234858,2.81359614723513,0.0323225675885332,0.0715891138917385,-4.46570046213211,"P68431"
"P68431","H3C8",58,2.95943100803577,"P68431",3.43232626918039,22.5817056234858,2.81359614723513,0.0323225675885332,0.0715891138917385,-4.46570046213211,"P68431"
"P84243","H3-3A",50,0,"P84243;Q16695;Q5TEC6;Q6NXT2",0.642805543313333,22.3477775269232,0.375465250031261,0.720874050453927,0.798321144016878,-7.28372569085694,"P84243;Q16695;Q5TEC6;Q6NXT2"
"P84243","H3-3B",54,2.43498907741737,"P84243;Q16695;Q5TEC6;Q6NXT2",0.642805543313333,22.3477775269232,0.375465250031261,0.720874050453927,0.798321144016878,-7.28372569085694,"P84243;Q16695;Q5TEC6;Q6NXT2"
"P98160","HSPG2",16,5.62285898855666,"P98160",2.11658801495104,25.1634642005983,11.6430148820697,3.42959392096857e-05,0.000293919518724457,3.09590860778728,"P98160"
"Q08431","MFGE8",4,0,"Q08431",2.35691253763335,26.9812787279547,11.0326321252305,4.61037803441648e-05,0.000362962488891334,2.77949847681395,"Q08431"
"Q08722","CD47",12,0,"Q08722",0.976813900687574,25.7049994375602,3.58063806031702,0.0126708540089154,0.0325607108953137,-3.44583452585211,"Q08722"
"Q12792","TWF1",6,1,"Q12792",-1.46272632617664,22.1832184227136,-6.59327406513686,0.000717270291326589,0.00325212603292579,-0.242014325782001,"Q12792"
"Q13813","SPTAN1",8,1.24166666666667,"Q13813;REV__Q04637",0.483220684943696,24.9547403286487,2.01706651133577,0.092710546107132,0.170824112614418,-5.56980710560119,"Q13813;REV__Q04637"
"Q14103","HNRNPD",12,630.628735863619,"Q14103",-2.66041495386855,24.1346300790974,-2.82386055617538,0.0319017477484098,0.0710203433165112,-4.45162052917641,"Q14103"
"Q14204","DYNC1H1",10,101.02380952381,"Q14204",0.184863940489038,24.6867196960372,0.983611085102301,0.365156722201882,0.488756911015193,-6.84230162277165,"Q14204"
"Q14240","EIF4A2",6,0.5,"Q14240",0.288161805463993,20.8306321470581,0.653627482362162,0.538781570808922,0.645345560609303,-7.12412215110904,"Q14240"
"Q15185","PTGES3",8,26.1190476190476,"Q15185",0.498961498046647,21.2589672168274,1.01738781374046,0.350150869581855,0.470752272774601,-6.80867001314851,"Q15185"
"Q15366","PCBP2",6,0,"Q15366;P57721",0.491318411631759,23.4444519273094,0.573447790817216,0.588210503220057,0.687436296610755,-7.17811872599336,"Q15366;P57721"
"Q71U36","TUBA1A",8,30.2380952380952,"Q71U36;P0DPH8;P0DPH7;Q6PEY2;A6NHL2",2.03928735792322,22.2513197784974,5.11226565811129,0.00254578615077749,0.00863742369297787,-1.66038810417619,"Q71U36;P0DPH8;P0DPH7;Q6PEY2;A6NHL2"
"Q71UI9","H2AZ2",52,0.196108597285068,"Q71UI9;P0C0S5",4.43361611115072,23.2565488368459,13.8254652588559,1.32510614950868e-05,0.000160682799214974,4.0931313823716,"Q71UI9;P0C0S5"
"Q9Y230","RUVBL2",56,130.514386836521,"Q9Y230",0.198600308993019,20.894854456739,0.50929220240509,0.629634756557769,0.726050198640517,-7.21677698677406,"Q9Y230"
"Q9Y265","RUVBL1",60,190.629818669713,"Q9Y265",0.273586231404206,22.9341098019003,0.666244987145628,0.53125026169299,0.640775003789487,-7.11506851646842,"Q9Y265"
"Q9Y266","NUDC",4,3.61904761904762,"Q9Y266",-0.0166273068367495,21.4354750230322,-0.0469702278218321,0.964137464578372,0.97540075271597,-7.36394300342964,"Q9Y266"
