"UNIPROT","SYMBOL","logFC","adj.P.Val","pathway_id","pathway_name","is_AGRN","direction","significant"
"P02751","FN1",5.71190413653133,3.23875287666273e-05,"R-HSA-1643685","Homo sapiens: Disease",FALSE,"up",TRUE
"P06702","S100A9",-4.8102987477412,0.000157989556201923,"R-HSA-1643685","Homo sapiens: Disease",FALSE,"down",TRUE
"Q71UI9","H2AZ2",4.43361611115072,0.000160682799214974,"R-HSA-1643685","Homo sapiens: Disease",FALSE,"up",TRUE
"P62805","H4C9",4.15574860143037,0.000160682799214974,"R-HSA-1643685","Homo sapiens: Disease",FALSE,"up",TRUE
"P16104","H2AX",3.90977239816424,4.90185350892489e-05,"R-HSA-1643685","Homo sapiens: Disease",FALSE,"up",TRUE
"P31431","SDC4",3.50413506464376,0.0042667087774112,"R-HSA-1643685","Homo sapiens: Disease",FALSE,"up",TRUE
"P68431","H3C1",3.43232626918039,0.0715891138917385,"R-HSA-1643685","Homo sapiens: Disease",FALSE,"up",FALSE
"P06748","NPM1",3.31134523684286,0.00863742369297787,"R-HSA-1643685","Homo sapiens: Disease",FALSE,"up",TRUE
"P05556","ITGB1",3.05007125354915,6.47675261860327e-05,"R-HSA-1643685","Homo sapiens: Disease",FALSE,"up",TRUE
"O00468","AGRN",2.97574090601907,0.000154600782520307,"R-HSA-1643685","Homo sapiens: Disease",TRUE,"up",TRUE
"P55268","LAMB2",2.97025364331254,0.00696998449304999,"R-HSA-1643685","Homo sapiens: Disease",FALSE,"up",TRUE
"Q14103","HNRNPD",-2.66041495386855,0.0710203433165112,"R-HSA-1643685","Homo sapiens: Disease",FALSE,"down",FALSE
"P61769","B2M",2.26227011810693,0.000165249161826686,"R-HSA-1643685","Homo sapiens: Disease",FALSE,"up",TRUE
"P11047","LAMC1",2.1503320550259,0.000154937358266977,"R-HSA-1643685","Homo sapiens: Disease",FALSE,"up",TRUE
"P98160","HSPG2",2.11658801495104,0.000293919518724457,"R-HSA-1643685","Homo sapiens: Disease",FALSE,"up",TRUE
"P18827","SDC1",-2.09656178108388,0.35738145382966,"R-HSA-1643685","Homo sapiens: Disease",FALSE,"down",FALSE
"Q71U36","TUBA1A",2.03928735792322,0.00863742369297787,"R-HSA-1643685","Homo sapiens: Disease",FALSE,"up",TRUE
"P21926","CD9",-1.67772995643685,0.0436006914192415,"R-HSA-1643685","Homo sapiens: Disease",FALSE,"down",TRUE
"P52292","KPNA2",1.49840356038263,0.0283347449377956,"R-HSA-1643685","Homo sapiens: Disease",FALSE,"up",TRUE
"P01111","NRAS",1.48801438346512,0.372305707489942,"R-HSA-1643685","Homo sapiens: Disease",FALSE,"up",FALSE
"O15144","ARPC2",-1.35812689941895,0.00126175095051445,"R-HSA-1643685","Homo sapiens: Disease",FALSE,"down",TRUE
"P68363","TUBA1B",1.19069343476805,0.00264938841860455,"R-HSA-1643685","Homo sapiens: Disease",FALSE,"up",TRUE
"P61088","UBE2N",1.00647390740892,0.181752591730059,"R-HSA-1643685","Homo sapiens: Disease",FALSE,"up",FALSE
"P26599","PTBP1",-0.766290933983903,0.0946828648384656,"R-HSA-1643685","Homo sapiens: Disease",FALSE,"down",FALSE
"P62873","GNB1",0.722785871677132,0.0497436684950498,"R-HSA-1643685","Homo sapiens: Disease",FALSE,"up",TRUE
"P30153","PPP2R1A",0.691686750544797,0.0383105738920348,"R-HSA-1643685","Homo sapiens: Disease",FALSE,"up",TRUE
"P84243","H3-3A",0.642805543313333,0.798321144016878,"R-HSA-1643685","Homo sapiens: Disease",FALSE,"up",FALSE
"P60709","ACTB",0.553264694573404,0.0491781695084405,"R-HSA-1643685","Homo sapiens: Disease",FALSE,"up",TRUE
"O15511","ARPC5",-0.549641408268869,0.315129074224031,"R-HSA-1643685","Homo sapiens: Disease",FALSE,"down",FALSE
"P11940","PABPC1",0.517935421774801,0.174880670574225,"R-HSA-1643685","Homo sapiens: Disease",FALSE,"up",FALSE
"P62826","RAN",0.501775249638168,0.181866091758819,"R-HSA-1643685","Homo sapiens: Disease",FALSE,"up",FALSE
"Q15185","PTGES3",0.498961498046647,0.470752272774601,"R-HSA-1643685","Homo sapiens: Disease",FALSE,"up",FALSE
"Q15366","PCBP2",0.491318411631759,0.687436296610755,"R-HSA-1643685","Homo sapiens: Disease",FALSE,"up",FALSE
"P35613","BSG",0.453520325806487,0.0549877346132674,"R-HSA-1643685","Homo sapiens: Disease",FALSE,"up",FALSE
"P35579","MYH9",0.437691410362646,0.0911323355978355,"R-HSA-1643685","Homo sapiens: Disease",FALSE,"up",FALSE
"O00571","DDX3X",0.415603403972018,0.548724292840006,"R-HSA-1643685","Homo sapiens: Disease",FALSE,"up",FALSE
"P0DP25","CALM1",-0.34421792054308,0.235988097217771,"R-HSA-1643685","Homo sapiens: Disease",FALSE,"down",FALSE
"P62993","GRB2",0.34384955984094,0.349628977781601,"R-HSA-1643685","Homo sapiens: Disease",FALSE,"up",FALSE
"P26368","U2AF2",-0.326217418369012,0.618335529585652,"R-HSA-1643685","Homo sapiens: Disease",FALSE,"down",FALSE
"P51149","RAB7A",0.297997833210797,0.199740744985599,"R-HSA-1643685","Homo sapiens: Disease",FALSE,"up",FALSE
"Q14240","EIF4A2",0.288161805463993,0.645345560609303,"R-HSA-1643685","Homo sapiens: Disease",FALSE,"up",FALSE
