"","Normal_count","Tumor_count","Pattern"
"P50453",0,3,"Tumor_only_3v0"
"Q8IZP2;P50502;Q8NFI4",2,3,"Other"
"P50552",3,3,"Other"
"P50990",3,3,"Other"
"P50991",3,3,"Other"
"P50995;P27216",3,3,"Other"
"P51148",3,3,"Other"
"P51149",3,3,"Other"
"P51153",3,2,"Other"
"P51858",3,0,"Normal_only_3v0"
"P52209",3,3,"Other"
"P52292",1,3,"Other"
"P52306",2,1,"Other"
"P52565",3,3,"Other"
"P52566",3,0,"Normal_only_3v0"
"P52907",3,3,"Other"
"P53621",2,1,"Other"
"P53990",3,2,"Other"
"P54578",3,2,"Other"
"P54709",3,3,"Other"
"P54819",2,1,"Other"
"P54920",0,3,"Tumor_only_3v0"
"P55072",3,3,"Other"
"P55268",2,3,"Other"
"P55735",2,0,"Other"
"P55786;A6NEC2",3,3,"Other"
"P58335",0,3,"Tumor_only_3v0"
"P58546",3,0,"Normal_only_3v0"
"P59998",3,3,"Other"
"P60033",3,3,"Other"
"P60174",3,3,"Other"
"P60660;P14649",3,3,"Other"
"P60709;Q6S8J3;A5A3E0;P0CG38;Q9BYX7;P0CG39",3,3,"Other"
"P60842",3,3,"Other"
"P60903",3,3,"Other"
"P60953;P17081;Q9H4E5",3,3,"Other"
"P60981",3,3,"Other"
"P61006",0,3,"Tumor_only_3v0"
"P61020",1,2,"Other"
"P61026",2,1,"Other"
"P62837;P61077",0,3,"Tumor_only_3v0"
"P61086",3,1,"Other"
"P61088;Q5JXB2",3,3,"Other"
"P61106",3,3,"Other"
"P61158;Q9P1U1;Q9C0K3",3,3,"Other"
"P61160",3,3,"Other"
"P61163",3,3,"Other"
"P61224;A6NIZ1",0,3,"Tumor_only_3v0"
"P61225;P10114",3,3,"Other"
"P61586",3,3,"Other"
"P61769",3,3,"Other"
"P61978",3,3,"Other"
"P61981",3,3,"Other"
"P62081",2,1,"Other"
"P62140;P36873;P62136",3,3,"Other"
"P62195",3,3,"Other"
"P62241",2,2,"Other"
"P62258",3,3,"Other"
"P62269",2,1,"Other"
"P62277",2,1,"Other"
"P62330",2,3,"Other"
"P62424",3,3,"Other"
"P62701;Q8TD47;P22090",2,2,"Other"
"P62753",3,1,"Other"
"P62805",3,3,"Other"
"P62820;P59190",3,3,"Other"
"P62826",3,3,"Other"
"P62829",3,3,"Other"
"P62834",3,3,"Other"
"P62851",3,0,"Normal_only_3v0"
"P62854;Q5JNZ5",0,3,"Tumor_only_3v0"
"P62857",2,2,"Other"
"P62873;P16520",3,3,"Other"
"P62879",3,3,"Other"
"P62899",2,0,"Other"
"P62906",3,2,"Other"
"P62913",3,3,"Other"
"P62937;P0DN26;A0A0B4J2A2;A0A075B767;A0A075B759;Q9Y536;F5H284;P0DN37",3,3,"Other"
"P63000;P60763",3,3,"Other"
"P63010",3,3,"Other"
"Q5JWF2;P63092;P38405",3,3,"Other"
"P63104",3,3,"Other"
"P63208",3,2,"Other"
"P63218;A0A804HLA8",3,3,"Other"
"P63241;Q6IS14",3,3,"Other"
"P63244",3,3,"Other"
"P63261",3,3,"Other"
"P67809",3,3,"Other"
"P67936;P07951;CON__Q3SX28;P09493",3,3,"Other"
"P68133;P68032;P63267;P62736",3,3,"Other"
"P68104;Q5VTE0;Q05639",3,3,"Other"
"P68363;Q9H853",3,3,"Other"
"P68366",3,2,"Other"
"P68371;Q9BVA1;Q13885",3,3,"Other"
"P68431",0,2,"Other"
"P78324",3,0,"Normal_only_3v0"
"P78371",3,3,"Other"
"P78417",2,3,"Other"
"P80297",3,3,"Other"
"P80723",3,3,"Other"
"P84077;P61204",3,3,"Other"
"P84090",3,0,"Normal_only_3v0"
"P84095",3,3,"Other"
"P98088",1,3,"Other"
"P98160",3,3,"Other"
"Q00610;P53675",3,3,"Other"
"Q00688",1,2,"Other"
"Q01082",3,3,"Other"
"Q01469",3,2,"Other"
"Q01518",3,3,"Other"
"Q01650",3,3,"Other"
"Q01813",3,3,"Other"
"Q02543",2,0,"Other"
"Q02790",3,0,"Normal_only_3v0"
"Q03135",2,3,"Other"
"Q03169",3,2,"Other"
"Q03405",2,3,"Other"
"Q04917",3,3,"Other"
"Q06323",3,3,"Other"
"Q06830",3,3,"Other"
"Q07020",3,3,"Other"
"Q08380",3,3,"Other"
"Q08431",3,3,"Other"
"Q08722",3,3,"Other"
"Q09666",3,3,"Other"
"Q10567",3,2,"Other"
"Q12792",3,1,"Other"
"Q12905",2,0,"Other"
"Q13228",2,0,"Other"
"Q13404",3,3,"Other"
"Q13421",3,0,"Normal_only_3v0"
"Q13443",3,3,"Other"
"Q13557;Q9UQM7;Q13555;Q13554",3,3,"Other"
"Q13561",1,3,"Other"
"Q13630",2,0,"Other"
"Q13637",0,3,"Tumor_only_3v0"
"Q13641",3,3,"Other"
"Q13753",3,3,"Other"
"Q13813;REV__Q04637",3,3,"Other"
"Q14019",2,3,"Other"
"Q14103",3,2,"Other"
"Q14116",3,0,"Normal_only_3v0"
"Q14126",3,3,"Other"
"Q14134",2,0,"Other"
"Q14160",1,2,"Other"
"Q14204",3,3,"Other"
"Q14254",2,2,"Other"
"Q14651",2,0,"Other"
"Q14699",1,3,"Other"
"Q14738;Q13362",1,3,"Other"
"Q14764",3,3,"Other"
"Q14847",3,3,"Other"
"Q14914",2,1,"Other"
"Q14974",3,3,"Other"
"Q14CN2",3,0,"Normal_only_3v0"
"Q15056",1,2,"Other"
"Q15084",3,3,"Other"
"Q15102",3,3,"Other"
"Q15149;P58107",3,3,"Other"
"Q15181",3,2,"Other"
"Q15286",3,3,"Other"
"Q15365",3,3,"Other"
"Q15366;P57721",2,3,"Other"
"Q15417",0,3,"Tumor_only_3v0"
"Q15582",2,1,"Other"
"Q15599",0,2,"Other"
"Q15691",2,3,"Other"
"Q15758",3,3,"Other"
"Q15836;P23763",0,3,"Tumor_only_3v0"
"Q15907",3,3,"Other"
"Q16270",0,3,"Tumor_only_3v0"
"Q16543",3,3,"Other"
"Q16555;Q14194",0,3,"Tumor_only_3v0"
"Q16651",3,0,"Normal_only_3v0"
"Q16658",3,0,"Normal_only_3v0"
"Q16719",3,2,"Other"
"Q16777;Q6FI13",3,3,"Other"
"Q16851",3,3,"Other"
"Q30154;P79483;P01911",0,2,"Other"
"Q53FA7",3,0,"Normal_only_3v0"
"Q5VW32",3,2,"Other"
"Q5ZPR3",0,3,"Tumor_only_3v0"
"Q6P9B6",3,2,"Other"
"Q6YHK3",3,0,"Normal_only_3v0"
"Q6ZN28",3,0,"Normal_only_3v0"
"Q71DI3",1,3,"Other"
"Q71RC9",3,0,"Normal_only_3v0"
"Q71U36;P0DPH8;P0DPH7;Q6PEY2;A6NHL2",1,3,"Other"
"Q7KZF4",3,3,"Other"
"Q7L1Q6",2,3,"Other"
"Q7L576;Q96F07",3,3,"Other"
"Q9H8S9;Q7L9L4",2,3,"Other"
"Q7LBR1",3,0,"Normal_only_3v0"
"Q7Z404",3,0,"Normal_only_3v0"
"Q7Z699",0,2,"Other"
"Q86VP6",3,3,"Other"
"Q86VR2",0,2,"Other"
"Q86X29",3,3,"Other"
"Q8IWA5",3,3,"Other"
"Q8IZ83",2,0,"Other"
"Q8N271",3,0,"Normal_only_3v0"
"Q8N5I2",3,1,"Other"
"Q8NC51",3,3,"Other"
"Q8NFJ5",3,3,"Other"
"Q8NG11",3,3,"Other"
"Q8NI35",3,0,"Normal_only_3v0"
"Q8TE68",3,1,"Other"
"Q9NP97;Q8TF09",2,3,"Other"
"Q8WUM4",3,3,"Other"
"Q92542",3,3,"Other"
"Q92597",3,3,"Other"
"Q92616",3,3,"Other"
"Q92626",0,3,"Tumor_only_3v0"
"Q92817",3,0,"Normal_only_3v0"
"Q92882",2,1,"Other"
"Q92930",2,2,"Other"
"Q969L2",3,1,"Other"
"Q969P0",2,3,"Other"
"Q969X1",3,3,"Other"
"Q96A65",2,3,"Other"
"Q96AC1",3,3,"Other"
"Q96AP7",0,3,"Tumor_only_3v0"
"Q96C19",1,2,"Other"
"Q96EY5",3,2,"Other"
"Q96FQ6",3,3,"Other"
"Q96FW1",2,1,"Other"
"Q96FZ5",0,2,"Other"
"Q96G03",3,1,"Other"
"Q96KP4",3,3,"Other"
"Q96QK1",3,3,"Other"
"Q96RS6",2,3,"Other"
"Q96RT1;Q96NW7",3,3,"Other"
"Q96S97",0,3,"Tumor_only_3v0"
"Q96TA1",3,3,"Other"
"Q99439",2,1,"Other"
"Q99460",3,3,"Other"
"Q99471",1,3,"Other"
"Q99497",3,3,"Other"
"Q99536",3,3,"Other"
"Q99584",3,3,"Other"
"Q99653",2,0,"Other"
"Q99816",3,3,"Other"
"Q99828",3,0,"Normal_only_3v0"
"Q99829",2,3,"Other"
"Q99832",3,3,"Other"
"Q9BQE3",1,3,"Other"
"Q9BRA2",3,0,"Normal_only_3v0"
